brand_id,name,category_id,updated_at,is_active,store_id
23,Cetaphil Moisturizing Lotion 59ml (hijau),1,2024-01-16 04:50:55,1,1
24,Chava Face Mist Organic 100gr,1,2024-01-16 04:50:55,1,1
25,Cleora Beauty 3 Minutes Exfoliating Gel 50ml,1,2024-01-16 04:50:55,1,1
26,Cosrx Acne Pimple Masker Patch,1,2024-01-16 04:50:55,1,1
26,Cosrx Advanced Snail 96 Mucin Power Essence 100ml,1,2024-01-16 04:50:55,1,1
26,Cosrx Low Ph Good Morning Gel Cleanser 150ml,1,2024-01-16 04:50:55,1,1
26,Cosrx Low Ph Good Morning Gel Cleanser 20ml,1,2024-01-16 04:50:55,1,1
26,Cosrx Low Ph Good Morning Gel Cleanser 50ml,1,2024-01-16 04:50:55,1,1
26,Cosrx AHA/BHA Clarifiying Treatment Toner,1,2024-01-16 04:50:55,1,1
27,Daisy Organic Chocolate 20gr,1,2024-01-16 04:50:55,1,1
27,Daisy Organic Greentea 20gr,1,2024-01-16 04:50:55,1,1
27,Daisy Organic Milk 20gr,1,2024-01-16 04:50:55,1,1
27,Daisy Organic Strawberry 20gr,1,2024-01-16 04:50:55,1,1
28,Dazzle Me Lip Tin Oran-gee,1,2024-01-16 04:50:55,1,1
28,Dazzle Me Lip Tin Smiley,1,2024-01-16 04:50:55,1,1
28,Dazzle Me Lip Tin Swipe Up,1,2024-01-16 04:50:55,1,1
28,Dazzle Me Lip Tin Touch Down,1,2024-01-16 04:50:55,1,1
29,Dear Me Beauty 10% Vitamin C + Orange Extract Face Serum 12ml,1,2024-01-16 04:50:55,1,1
30,Derma Angel Acne Gel Patch Day 12,1,2024-01-16 04:50:55,1,1
30,Derma Angel Acne Gel Patch Night 12,1,2024-01-16 04:50:55,1,1
30,Derma Angel Acne Gel Patch Night 6,1,2024-01-16 04:50:55,1,1
30,Derma Angel Acne Patch Day 6pcs,1,2024-01-16 04:50:55,1,1
30,Derma Angel Acne Path Mix 18pcs,1,2024-01-16 04:50:55,1,1
31,Diy Compressed Mask 100pcs,1,2024-01-16 04:50:55,1,1
32,Dorskin Matcha Glow Dream Mask 30gr,1,2024-01-16 04:50:55,1,1
33,Dr Brandon Brightening & Firm Serum 20ml,1,2024-01-16 04:50:55,1,1
33,Dr Brandon Brightening Face Serum 20ml,1,2024-01-16 04:50:55,1,1
33,Dr Brandon Hydrating Face Serum,1,2024-01-16 04:50:55,1,1
33,Dr Brandon Intensive Bright Serum Alpha Arbutin Centella Asiatica 20ml,1,2024-01-16 04:50:55,1,1
33,Dr Brandon Peeling Solution 20ml,1,2024-01-16 04:50:55,1,1
34,Eiem Beauty Water Bank Moisture Gel 30gr,1,2024-01-16 04:50:55,1,1
1,Eiem Serum Niacinamide,1,2024-01-16 04:50:55,1,1
35,Eileen Grace Deep Cleansing Black Jelly Mask 300ml,1,2024-01-16 04:50:55,1,1
35,Eileen Grace Moisturize Rose Jelly Mask 300ml,1,2024-01-16 04:50:55,1,1
36,Emina Bright Stuff Face Wash 100ml,1,2024-01-16 04:50:55,1,1
36,Emina Bright Stuff Face Wash 50ml,1,2024-01-16 04:50:55,1,1
36,Emina Lip Mask,1,2024-01-16 04:50:55,1,1
36,Emina Sun Battle Sunscreen SPF 30 60ml,1,2024-01-16 04:50:55,1,1
36,Emina Sun Battle Sunscreen SPF 30 Fun Size 23ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Acne Shot Solution 10ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Bye Bye Flake Lips Lip Scrub 7gr,1,2024-01-16 04:50:55,1,1
37,Envygreen Clean Pore Facial Foam 30ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Clean Pore Toner 100ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Clean Pore Toner 30ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Clear Daily Protection 5gr,1,2024-01-16 04:50:55,1,1
37,Envygreen Dead Skin Cell Remover ,1,2024-01-16 04:50:55,1,1
37,Envygreen Eye And Neck Hyalugen Serum 3ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Gentle And Fresh Face Toner 100ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Gentle And Fresh Face Toner 30ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Gentle And Fresh Facial Foam 100ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Gentle And Fresh Facial Foam 30ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Glow Up Exfoliating Toner 100ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Glow Up Exfoliating Toner 30ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Hyalugen Skin Barrier Serum 15ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Hyalugen Skin Barrier Serum 3ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Intensify Brightening Serum 3ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Moisture Boost Cream 25gr,1,2024-01-16 04:50:55,1,1
37,Envygreen Mugcera Intensify Brightening Serum 10ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Night Extra Whitening 20gr,1,2024-01-16 04:50:55,1,1
37,Envygreen Night Extra Whitening 5gr,1,2024-01-16 04:50:55,1,1
37,Envygreen Pore Refining Minimizer Serum 10ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Pore Refining Minimizer Serum 5ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Skin Bestie Soothing Toner 60ml,1,2024-01-16 04:50:55,1,1
37,Envygreen Soft Moist And Nourish Cream 25gr,1,2024-01-16 04:50:55,1,1
37,Envygreen Soft Moist And Nourish Cream 5gr,1,2024-01-16 04:50:55,1,1
37,Envygreen Ultimate Sun Protection 20gr,1,2024-01-16 04:50:55,1,1
37,Envygreen Ultimate Sun Protection 5gr,1,2024-01-16 04:50:55,1,1
38,Er123 Cleanser,1,2024-01-16 04:50:55,1,1
39,Facetology Facial Wash,1,2024-01-16 04:50:55,1,1
39,Facetology Triple Care Sunscreen Spf 40PA+++,1,2024-01-16 04:50:55,1,1
40,Fameux Whitening Body Cream,1,2024-01-16 04:50:55,1,1
41,Focallure Eyebrow Cream 01 Auburn,1,2024-01-16 04:50:55,1,1
41,Focallure Eyebrow Cream 02,1,2024-01-16 04:50:55,1,1
41,Focallure Eyebrow Cream 03,1,2024-01-16 04:50:55,1,1
41,Focallure Eyebrow Cream 04,1,2024-01-16 04:50:55,1,1
41,Focallure Eyebrow Cream 05 Ebony,1,2024-01-16 04:50:55,1,1
41,Focallure Patch Acne Day,1,2024-01-16 04:50:55,1,1
41,Focallure Patch Acne Night,1,2024-01-16 04:50:55,1,1
42,Garnier Micellar Cleansing Water In Oil 125ml (biphas),1,2024-01-16 04:50:55,1,1
42,Garnier Micellar Cleansing Water Pink 125ml,1,2024-01-16 04:50:55,1,1
42,Garnier Micellar Cleansing Water Pink 400ml,1,2024-01-16 04:50:55,1,1
42,Garnier Micellar Cleansing Water Pink 50ml,1,2024-01-16 04:50:55,1,1
42,Garnier Micellar Cleansing Water Rose Water 125ml,1,2024-01-16 04:50:55,1,1
42,Garnier Micellar Cleansing Water Salicylic Bha 125ml (biru),1,2024-01-16 04:50:55,1,1
42,Garnier Micellar Cleansing Water Vitamin C 125ml,1,2024-01-16 04:50:55,1,1
42,Garnier Micellar Oil-infused Cleansing Water 50ml,1,2024-01-16 04:50:55,1,1
43,Geamoore Body Wash Bacca 540 100ml,1,2024-01-16 04:50:55,1,1
43,Geamoore Body Wash Bo Coffee 100ml,1,2024-01-16 04:50:55,1,1
